x,y,z
464863.5775,4427967.334,2248.146815
464863.3849,4427989.473,2224.312842
464863.5762,4428012.22,2192.541002
464863.5502,4428034.717,2166.890958
464863.8515,4428056.589,2152.226705
464863.7,4428079.787,2150.019159
464863.9407,4428102.278,2176.271634
464864.1355,4428123.577,2201.908315
464863.6659,4428147.119,2216.566797
464863.6032,4428168.959,2232.908267
464863.3189,4428191.252,2244.992722
464863.5904,4428214.423,2260.302385
464864.3854,4428235.096,2271.443187
464863.8155,4428258.861,2284.329632
464863.9587,4428281.589,2294.054476
464863.7408,4428303.687,2304.047643
464863.2553,4428326.263,2311.888173
464863.6205,4428348.645,2317.277886
464863.5633,4428370.903,2323.928305
464863.116,4428393.898,2331.853988
464863.3994,4428415.516,2333.612127
464863.6738,4428437.266,2335.271724
464863.3595,4428461.213,2333.021189
464863.3199,4428482.915,2333.289906
464863.0536,4428505.549,2331.826435
464863.3164,4428527.884,2329.840988
464863.3081,4428550.726,2322.857298
464864.0223,4428572.961,2308.376817
464863.5835,4428594.723,2300.104456
464863.4391,4428617.259,2299.928852
464886.0322,4427967.693,2236.111971
464885.7474,4427989.598,2212.248299
464885.7352,4428011.965,2191.084982
464885.5562,4428034.581,2171.164772
464885.6032,4428055.824,2156.484423
464885.1776,4428079.697,2146.258824
464884.9192,4428102.103,2168.076479
464885.1607,4428124.262,2186.89241
464885.248,4428146.596,2202.900774
464885.249,4428168.549,2220.879837
464885.0398,4428191.784,2239.840467
464885.2747,4428213.907,2251.701449
464885.2941,4428236.727,2263.842649
464885.5101,4428258.298,2275.393655
464884.606,4428281.364,2289.603619
464885.1152,4428303.867,2301.818749
464885.1739,4428326.978,2308.236432
464885.5383,4428348.651,2312.396019
464885.5757,4428370.619,2318.221628
464886.0693,4428394.95,2326.126107
464885.8705,4428415.487,2327.652856
464885.8984,4428437.193,2327.320718
464886.0422,4428460.903,2328.260261
464885.7471,4428483.046,2327.441326
464885.5575,4428504.914,2325.257261
464885.3772,4428528.243,2321.003556
464885.3724,4428550.56,2309.807731
464885.1681,4428573.607,2293.915043
464885.1664,4428593.709,2286.141736
464885.4172,4428617.63,2287.969642
464907.0299,4427967.277,2229.263282
464907.1215,4427989.733,2210.643601
464907.1126,4428011.966,2192.15408
464907.1931,4428034.361,2173.530115
464907.0993,4428056.816,2157.573413
464907.7585,4428079.339,2145.956603
464906.9321,4428102.641,2150.22259
464907.823,4428124.536,2166.305773
464907.7541,4428146.374,2185.334693
464907.426,4428169.392,2205.257288
464907.7617,4428191.122,2230.312493
464907.4643,4428214.471,2243.831051
464907.2173,4428236.352,2259.115553
464907.7806,4428257.618,2266.271702
464907.9907,4428280.939,2278.28774
464907.1111,4428304.12,2291.989866
464907.5287,4428326.258,2298.811853
464906.793,4428348.732,2306.285142
464908.1168,4428371.576,2314.818653
464907.3674,4428393.021,2318.321576
464907.2004,4428416.388,2320.589017
464907.6921,4428438.568,2322.377865
464907.7691,4428459.98,2321.61866
464907.4823,4428483.292,2319.82513
464907.2069,4428505.792,2319.438792
464907.2729,4428527.777,2311.602046
464907.6699,4428550.259,2297.6743
464907.2417,4428573.907,2281.64535
464907.7949,4428594.624,2267.340022
464907.6436,4428616.996,2262.363336
464929.3824,4427967.264,2231.263046
464929.3424,4427990.049,2211.319714
464929.4001,4428012.182,2189.568386
464928.9588,4428034.452,2177.833701
464929.0659,4428056.894,2163.869479
464929.1924,4428078.831,2146.914971
464929.5637,4428102.732,2142.109369
464929.3869,4428124.529,2152.244001
464929.4808,4428146.552,2167.997887
464929.7445,4428169.122,2189.340229
464929.4158,4428191.914,2219.926158
